X直播电视台 youtube油管 频道
$c_start 测试$c_end
ceshi2,#genre#
龙华戏剧,http://45.11.92.153/lbq/GetPlayUrl2228.php?id=14f4e19566cf4e3fb0db821524657fe2
龙华偶像,http://45.11.92.153/lbq/GetPlayUrl2228.php?id=1f2fb27fe7ff4786b1d1823e056eb475
龙华洋片,http://45.11.92.153/lbq/GetPlayUrl2228.php?id=a96b8343c12741df8c2a5cd9668c15e7
卫视中文,http://45.11.92.153/lbq/GetPlayUrl2228.php?id=900fb4e3e1e34416b0fc2c65daae86dc
TVBS新闻台,http://45.11.92.153/lbq/GetPlayUrl2228.php?id=15b49529415846bfa0891aaea1bd511a
TVBS欢乐台,http://45.11.92.153/lbq/GetPlayUrl2228.php?id=094de254c5cc444095807aef3aca4e78
TVBS,http://45.11.92.153/lbq/GetPlayUrl2228.php?id=a023e0d7e1624b7fade880a1f501a73b
TVBS精彩,http://45.11.92.153/lbq/GetPlayUrl2228.php?id=94c0c2b4888b4806bb3e34a8f443af9d
民视新闻,http://45.11.92.153/lbq/GetPlayUrl2228.php?id=74d24028c17b4fd593b5464ad4a7dca9
非凡新闻,http://45.11.92.153/lbq/GetPlayUrl2228.php?id=8189b574b2cc4bcb8a1020bad03bd944
壹新闻,http://45.11.92.153/lbq/GetPlayUrl2228.php?id=c53914f4b4764ca08b82a7f338d02bee
年代新闻,http://45.11.92.153/lbq/GetPlayUrl2228.php?id=2d0f92372a91436ea054b3992277cb2f
年代MUCH,http://45.11.92.153/lbq/GetPlayUrl2228.php?id=5815f971a4f04a9a8ff0f99baef07e29
爱尔达综合,http://45.11.92.153/lbq/GetPlayUrl2228.php?id=261202b9e41a4577ab523002ba06af98
寰宇新闻 ,http://45.11.92.153/lbq/GetPlayUrl2228.php?id=fdd22fead40a4ad6b9fa865fe7c9da8f
寰宇新闻二台,http://45.11.92.153/lbq/GetPlayUrl2228.php?id=5ba1cdbca23b4cbbbe867bfa73fdf3b0
寰宇综合,http://45.11.92.153/lbq/GetPlayUrl2228.php?id=4781d0778b8c497da2af7b11379bc643
寰宇财经,http://45.11.92.153/lbq/GetPlayUrl2228.php?id=878c5594f39b4e4983e60f9e374c0875
EYETV戏剧,http://45.11.92.153/lbq/GetPlayUrl2228.php?id=30d55ef974f24afcb1dbc1536561f10a
新加坡亚洲新闻,http://45.11.92.153/lbq/GetPlayUrl2228.php?id=e0220f896d8845769a6c8c512132c42a
中天新闻,http://45.11.92.153/lbq/GetPlayUrl2228.php?id=88cb990a54e247709e35d50b409a5b2d
中天综合,http://45.11.92.153/lbq/GetPlayUrl2228.php?id=b33440ad1bf44f71837c199a667cf022
中天娱乐,http://45.11.92.153/lbq/GetPlayUrl2228.php?id=053abe29ce694a4782849e530fefea74
中天亚洲,http://45.11.92.153/lbq/GetPlayUrl2228.php?id=cb1a2bc1e3ef488d9ea6dc8b4cb8b360
八大戏剧,http://45.11.92.153/lbq/GetPlayUrl2228.php?id=3f76c1a4088e47e2806b7d08ef14bc27
八大综合,http://45.11.92.153/lbq/GetPlayUrl2228.php?id=cbde286322874255a9b56e4ecaca44e5
八大娱乐,http://45.11.92.153/lbq/GetPlayUrl2228.php?id=9aff94032c4648ef8d1ea386deb5a285
八大第一,http://45.11.92.153/lbq/GetPlayUrl2228.php?id=7a473a87d30942229c150d8bf38461ce
三立新闻,http://45.11.92.153/lbq/GetPlayUrl2228.php?id=9cc42067e3754f91b12752dcb7dd4364
三立台湾台,http://45.11.92.153/lbq/GetPlayUrl2228.php?id=6e475f695f43423a9b96b1832167ce37
三立戏剧台,http://45.11.92.153/lbq/GetPlayUrl2228.php?id=81ac707e2afe4cc495f26c4a5125d023
三立综合,http://45.11.92.153/lbq/GetPlayUrl2228.php?id=9fb438db784841669cfc4575d595f22b
三立都会台,http://45.11.92.153/lbq/GetPlayUrl2228.php?id=a4444b9dad5541f5bf316f94c29a51b8
信大,http://45.11.92.153/lbq/GetPlayUrl2228.php?id=f5f842dfdb294d93a529ab733336d01c
全大电视台,http://45.11.92.153/lbq/GetPlayUrl2228.php?id=601ec945bec6425f97d459111917486d
冠军电视台,http://45.11.92.153/lbq/GetPlayUrl2228.php?id=4e95f32160684c3099adc16c75afbd58
信吉电视,http://45.11.92.153/lbq/GetPlayUrl2228.php?id=fb57302a559d4ebd971db0bfb7806286
大爱,http://45.11.92.153/lbq/GetPlayUrl2228.php?id=ba78cea5bdfe41c29aeb3fa13b2cff9a
好消息,http://45.11.92.153/lbq/GetPlayUrl2228.php?id=653a7c000f384677a665a646186c24c2
人间卫视,http://45.11.92.153/lbq/GetPlayUrl2228.php?id=52a8730b92cc4853a9f50e7a3cdd5e0a
大爱2,http://45.11.92.153/lbq/GetPlayUrl2228.php?id=b02bd05f2a1e441ca10d7082292ef991
好消息2,http://45.11.92.153/lbq/GetPlayUrl2228.php?id=0ea77331484a4b4584164adc4399bd92
客家电视台,http://45.11.92.153/lbq/GetPlayUrl2228.php?id=7e05f21ff8364acba9884b9339cd7e70
原民台,http://45.11.92.153/lbq/GetPlayUrl2228.php?id=033dba81c6204b31ae49b93d4bd725fd
高点综合,http://45.11.92.153/lbq/GetPlayUrl2228.php?id=5671867d3bf5443083cb74ae79576bbb
JET综合,http://45.11.92.153/lbq/GetPlayUrl2228.php?id=58725c9831dd48f7905e0a1ac580d375
momo综合,http://45.11.92.153/lbq/GetPlayUrl2228.php?id=2640b1fea6a34cf6b91bf529e8823778
霹雳台湾台,http://45.11.92.153/lbq/GetPlayUrl2228.php?id=c2403ac8f2094de48052119431594a57
人间卫视,http://45.11.92.153/lbq/GetPlayUrl2228.php?id=d0bc598b248d4517b7296ac195770698
生命电视台,http://45.11.92.153/lbq/GetPlayUrl2228.php?id=897723c36060488f8f6fddbae475d7e9
华藏卫星电视台,http://45.11.92.153/lbq/GetPlayUrl2228.php?id=954ec40c3c9b476f914fde7867a3411e
大爱,http://45.11.92.153/lbq/GetPlayUrl2228.php?id=629895c5611d4e76843c97ecff1ae4ef
国会频道1,http://45.11.92.153/lbq/GetPlayUrl2228.php?id=b1b09f97b65f4444b9cc454653031326
国会频道2,http://45.11.92.153/lbq/GetPlayUrl2228.php?id=51db429a14cc42bd9b33eff723091fe5
ETtoday综合,http://45.11.92.153/lbq/GetPlayUrl2228.php?id=f1ada2805e1c496aa1ef2113ead0cd75
动物星球,http://45.11.92.153/lbq/GetPlayUrl2228.php?id=2b943467e9c443a18996bbaae32216a2
国家地理,http://45.11.92.153/lbq/GetPlayUrl2228.php?id=6ed655f401f94dcea9c814460c9a7754
探索,http://45.11.92.153/lbq/GetPlayUrl2228.php?id=aca42f3e2e9941508ff883d48871636f
跳频,http://45.11.92.153/lbq/GetPlayUrl2228.php?id=07e4f4a9348e411bb436d6ef10e37310
国家人文,http://45.11.92.153/lbq/GetPlayUrl2228.php?id=bdf475087fa14a07811c68005d3022c1
国家野生,http://45.11.92.153/lbq/GetPlayUrl2228.php?id=2b75cdae93384fe687add974905cb900
星卫娱乐,http://45.11.92.153/lbq/GetPlayUrl2228.php?id=1093044b958b44f6a527ea216c181272
狼谷育乐,http://45.11.92.153/lbq/GetPlayUrl2228.php?id=ffa17bdb8e5740f2b00ce5fae524084e
KIX,http://45.11.92.153/lbq/GetPlayUrl2228.php?id=63401c4810f44bb99e9ab337a2da3b3c
Lifetime,http://45.11.92.153/lbq/GetPlayUrl2228.php?id=25ab4e19a42e49d183241e15642cef68
纬来体育,http://45.11.92.153/lbq/GetPlayUrl2228.php?id=a66a5734f1234783ae018a30cd49857c
Z频道,http://45.11.92.153/lbq/GetPlayUrl2228.php?id=5a0c86df2a804c90a085670cc8d2bf2b
Eleven Sports2,http://45.11.92.153/lbq/GetPlayUrl2228.php?id=c29add9d10704bd9ad3a1c0d30a7cbc1
Eleven Sports1,http://45.11.92.153/lbq/GetPlayUrl2228.php?id=ccf2337d3eae4455b848bc8dc3ed2d37
爱尔达体育1,http://45.11.92.153/lbq/GetPlayUrl2228.php?id=56e8b6adabe544768be92d289777f4a1
爱尔达体育3,http://45.11.92.153/lbq/GetPlayUrl2228.php?id=43cecad14f7247c9b334a76718732a5c
博斯高球2,http://45.11.92.153/lbq/GetPlayUrl2228.php?id=581d51a722d143a89e1c09fddcf5992d
博斯高球1,http://45.11.92.153/lbq/GetPlayUrl2228.php?id=ca5251d046c649f69ec21c2839ba5370
博斯网球,http://45.11.92.153/lbq/GetPlayUrl2228.php?id=37f1d61feb9e453285f04c9f135a5254
Outdoor,http://45.11.92.153/lbq/GetPlayUrl2228.php?id=2fd27ea680e942aebc6bd7ed5b34955c
GOLF,http://45.11.92.153/lbq/GetPlayUrl2228.php?id=c5d0fe3a967c4c92b3f0c8c233f56d48
FIGHT,http://45.11.92.153/lbq/GetPlayUrl2228.php?id=6136e9cf13d646cca309b2466aacfcbd
bein sport 2,http://45.11.92.153/lbq/GetPlayUrl2228.php?id=22e617efde8749dc94e86571f5d089f6
劲爆体育,http://45.11.92.153/lbq/GetPlayUrl2228.php?id=7576aab3cdb14fe394feffcc5a59f59d
BBC Earth,http://45.11.92.153/lbq/GetPlayUrl2228.php?id=0bd3c6736d2d43e9b23992d6198dd486
TLC,http://45.11.92.153/lbq/GetPlayUrl2228.php?id=937c33cd8a10471699ba9f89bd759cd7
亚洲旅游,http://45.11.92.153/lbq/GetPlayUrl2228.php?id=4ae669fa2bc84e12ad650a46ef7004d0
EYE TV旅游台,http://45.11.92.153/lbq/GetPlayUrl2228.php?id=62d4f28d41a943989b7acfd0f99e4dac
NHK WORLD NEWS,http://45.11.92.153/lbq/GetPlayUrl2228.php?id=1ef77b3d824d49828d8d543cc32fd85a
CNN,http://45.11.92.153/lbq/GetPlayUrl2228.php?id=3e7d53afa14d404a8ddd60870d4a4a04
故障,http://45.11.92.153/lbq/GetPlayUrl2228.php?id=95fa57c1df5c40ab9057135307b3000c
未上架1,http://45.11.92.153/lbq/GetPlayUrl2228.php?id=3908dd1869e24152971f962a8261ba5a
未上架2,http://45.11.92.153/lbq/GetPlayUrl2228.php?id=34b75934ea4548eebd5fef8d9ef29d62
未上架3,http://45.11.92.153/lbq/GetPlayUrl2228.php?id=a4039c2d4e0d45e39ce425442d0b1299
未上架4,http://45.11.92.153/lbq/GetPlayUrl2228.php?id=f63c4079528840bea7404befa23a872b
探索亚洲,http://45.11.92.153/lbq/GetPlayUrl2228.php?id=e39164b112424beab63c9567bb36eae2
探索科学,http://45.11.92.153/lbq/GetPlayUrl2228.php?id=4ffc6826849a47758fb0ae7287f87998
探索动力频道,http://45.11.92.153/lbq/GetPlayUrl2228.php?id=ae5d815c493c4de1b64bbea0d15c7b2d
东森财经,http://45.11.92.153/lbq/GetPlayUrl2228.php?id=90df35ea19974dde9b4755a861c97e63
三立财经,http://45.11.92.153/lbq/GetPlayUrl2228.php?id=d6d617877c56420382accfc40064df1d
迪斯尼,http://45.11.92.153/lbq/GetPlayUrl2228.php?id=5e7a6c9e236e4c1f89341fb30e56fb89
爱放动漫,http://45.11.92.153/lbq/GetPlayUrl2228.php?id=82f1dfac3cd947819e5db03cab864cb3
Boomerang,http://45.11.92.153/lbq/GetPlayUrl2228.php?id=6e42ca98ad3d49a78cb687268d299a92
ANIMAX,http://45.11.92.153/lbq/GetPlayUrl2228.php?id=55bb004dc8b54cc989a53ddeee774690
美食星球,http://45.11.92.153/lbq/GetPlayUrl2228.php?id=a6cbff7a34984e2abc54ab171a927f7d
亚洲美食,http://45.11.92.153/lbq/GetPlayUrl2228.php?id=4598c5d1736b4fdab26204812d4b2a00
tvN,http://45.11.92.153/lbq/GetPlayUrl2228.php?id=f16ab2262f444d1e9c91f67d91e2a286
韩国娱乐KMTV,http://45.11.92.153/lbq/GetPlayUrl2228.php?id=16f38d9906524def976e5e54f6328112
Sport Plus 1 HD,http://45.11.92.153/lbq/GetPlayUrl2228.php?id=efb65bca31d04b81a6d765d85e7f66d0
CNBC,http://45.11.92.153/lbq/GetPlayUrl2228.php?id=0a525b7fa999464b883a345c0a6c3cef
MTV,http://45.11.92.153/lbq/GetPlayUrl2228.php?id=2a059dd08a644bcb83e99a750a4c7a0f
故障MTV综合台,http://45.11.92.153/lbq/GetPlayUrl2228.php?id=14e7a4efdf7e43708efa8486f48b7825
MOMO亲子,http://45.11.92.153/lbq/GetPlayUrl2228.php?id=698f7eec07ec4b1c972656e4143d0ac1

国兴卫视,http://45.11.92.153/lbq/GetPlayUrl2228.php?id=f43456e5f0a04bfebe686bad9d329f52
WAKU WAKU JAPAN,http://45.11.92.153/lbq/GetPlayUrl2228.php?id=0472b3463696460db9b3364a400f67f9

女性チャンネル?LaLa TV,http://45.11.92.153/lbq/GetPlayUrl2228.php?id=25b788861ee44c898a7242af2a5df45a
ムービープラス,http://45.11.92.153/lbq/GetPlayUrl2228.php?id=ca8a8ec2a40f428d93f97dbb6e00de71
日テレG+,http://45.11.92.153/lbq/GetPlayUrl2228.php?id=1b9a3a5d03fa47a09d5847dea8d4f323
卫星剧场,http://45.11.92.153/lbq/GetPlayUrl2228.php?id=6eefa50c708d48e9a757fcc4420b95c6
ＧＡOＲＡ,http://45.11.92.153/lbq/GetPlayUrl2228.php?id=620047bffde9486a930845c51af32f5c
ザ?シネマ,http://45.11.92.153/lbq/GetPlayUrl2228.php?id=2938eecaa0c9478b8175e87231ab3831
スカイ?A sports＋,http://45.11.92.153/lbq/GetPlayUrl2228.php?id=508b8c33fb73429d9698496568c69c3a
ディスカバリーチャンネル,http://45.11.92.153/lbq/GetPlayUrl2228.php?id=8b1d7ff42b3b497cab9ce5ec6a7d098e
旅チャンネル,http://45.11.92.153/lbq/GetPlayUrl2228.php?id=7bb35b5fe2254776a67ced46cb05377c
ＷＯＷＯＷシネマ,http://45.11.92.153/lbq/GetPlayUrl2228.php?id=0ea5b4bd877c4c7ea899469731807233
ＷＯＷＯＷライブ,http://45.11.92.153/lbq/GetPlayUrl2228.php?id=bf66dc12b37248ecac0e6b6289141ef8
ＷＯＷＯＷプライム,http://45.11.92.153/lbq/GetPlayUrl2228.php?id=dad011c5b1f7433e994bd066f741b41b
テレ朝チャンネル２,http://45.11.92.153/lbq/GetPlayUrl2228.php?id=fa5b7ee083114629bd34b58cadab910d
テレ朝チャンネル１,http://45.11.92.153/lbq/GetPlayUrl2228.php?id=cf45a0dbba25437d84e3737d87968e8d
ミュージック?エア,http://45.11.92.153/lbq/GetPlayUrl2228.php?id=d015ab2034e24f75add4e90662f754a5
ＴＢＳチャンネル１,http://45.11.92.153/lbq/GetPlayUrl2228.php?id=48ce3b674809450bb22147533bc137ca
银河,http://45.11.92.153/lbq/GetPlayUrl2228.php?id=13b94b9b50264da78d51e0a187d26329
フジテレビＮＥＸＴ,http://45.11.92.153/lbq/GetPlayUrl2228.php?id=c6902e72876e43fd912ac6313301db43
フジテレビＯＮＥ,http://45.11.92.153/lbq/GetPlayUrl2228.php?id=89d05590e53448b697ca6a7cb5f49cd1
フジテレビＴＷＯ,http://45.11.92.153/lbq/GetPlayUrl2228.php?id=2768e0e2d1e04c94b7f8fc2506fcd365
J SPORTS 1,http://45.11.92.153/lbq/GetPlayUrl2228.php?id=5289c7c6f92d4d63a333d4694b3c4119
J SPORTS 2,http://45.11.92.153/lbq/GetPlayUrl2228.php?id=c027743fc3834a6a9e5d9531e9ec64a0
J SPORTS 3,http://45.11.92.153/lbq/GetPlayUrl2228.php?id=793197e768654ab88277754567e2cbe4
J SPORTS 4,http://45.11.92.153/lbq/GetPlayUrl2228.php?id=198d3ef2aa81456bbf4b96251ca2d42a
カートゥーン ネットワーク,http://45.11.92.153/lbq/GetPlayUrl2228.php?id=0f4fde26232d4c8a95c4c78ffc49f37c
キッズステーション,http://45.11.92.153/lbq/GetPlayUrl2228.php?id=85b9edf5b68c4425aaba401e1da119da
铁道チャンネル,http://45.11.92.153/lbq/GetPlayUrl2228.php?id=90bf331dff7f4f99aa64e5edc1c9fdfc
NEWS24,http://45.11.92.153/lbq/GetPlayUrl2228.php?id=7f2da64221ff43b8b80c17b69a3761e1
FIGHTING TV サムライ,http://45.11.92.153/lbq/GetPlayUrl2228.php?id=c368654dba9f447899264fabf88a376f
アニマルプラネット   动物星球,http://45.11.92.153/lbq/GetPlayUrl2228.php?id=dd404c2f56ff4af488f89a6c2cbf35a2
Disney XD Japan  迪斯尼少儿频道,http://45.11.92.153/lbq/GetPlayUrl2228.php?id=4331c685aeab4270b37a09052b22c139
スターチャンネル１,http://45.11.92.153/lbq/GetPlayUrl2228.php?id=7b5d48b0ff3b42f39a7234e82e505079
スターチャンネル２,http://45.11.92.153/lbq/GetPlayUrl2228.php?id=8385e1124cd34dd4a743bcc5c49d4067
スターチャンネル３,http://45.11.92.153/lbq/GetPlayUrl2228.php?id=48a04b8ff12d40f18f7153ecfb4f9b60
スーパー！ドラマＴＶ,http://45.11.92.153/lbq/GetPlayUrl2228.php?id=624d682be2684d5eaa04241250c281c4
MONDO TV,http://45.11.92.153/lbq/GetPlayUrl2228.php?id=25771a99934f4f3c802e76871e994c96
ゴルフネットワーク,http://45.11.92.153/lbq/GetPlayUrl2228.php?id=4e90163468044792bcb9de8620194a79
ＢＢＣワールドニュース,http://45.11.92.153/lbq/GetPlayUrl2228.php?id=90511e935fc54411a2717a6458c2515e
CNN/US HD,http://45.11.92.153/lbq/GetPlayUrl2228.php?id=177d978f547948c3ab2cc300ea0ab77d
Music Japan TV 音乐频道,http://45.11.92.153/lbq/GetPlayUrl2228.php?id=d8ab7d5a5d8c460086442414f27f46af
MTV,http://45.11.92.153/lbq/GetPlayUrl2228.php?id=4df08b14e36c48febcd15f5bc7991eb0
MUSIC ON! TV,http://45.11.92.153/lbq/GetPlayUrl2228.php?id=49dc885517aa436b89471dd0bebfd06e
ヒストリーチャンネル?,http://45.11.92.153/lbq/GetPlayUrl2228.php?id=9197b49a23d848c2b3244d4d5b50f275
ＡＸＮ ＨＤ 海外ドラマ,http://45.11.92.153/lbq/GetPlayUrl2228.php?id=bcbcd750315a4f24b4b074642326dbc3
钓りビジョン,http://45.11.92.153/lbq/GetPlayUrl2228.php?id=75757581d6964f7aac23a6c2ea7e9cf2
AXNミステリー,http://45.11.92.153/lbq/GetPlayUrl2228.php?id=927dfd6bedc241c18421cdd708448988
 ナショナル ジオグラフィック チャンネル,http://45.11.92.153/lbq/GetPlayUrl2228.php?id=4e979d3620a7431496f7e471320625d4
KBS World,http://45.11.92.153/lbq/GetPlayUrl2228.php?id=729d739391ea4585b5433f51bf84d607
FOX,http://45.11.92.153/lbq/GetPlayUrl2228.php?id=9a9ea2c6013b4ef1a47dc8a1531a807b
东映チャンネル,http://45.11.92.153/lbq/GetPlayUrl2228.php?id=a4075f9cd1c84e7e856e3a8ddf1f77f7
HBO,http://45.11.92.153/lbq/GetPlayUrl2228.php?id=a427c74df9d749268cb0dc970fe9c91c
HBO HiTS,http://45.11.92.153/lbq/GetPlayUrl2228.php?id=545b87ab340e4af68fd54187f492229e
HBO signature,http://45.11.92.153/lbq/GetPlayUrl2228.php?id=96e00df15b494c78bc5630d94eea944d
HBO HD  ,http://45.11.92.153/lbq/GetPlayUrl2228.php?id=8d5cc5fe07e44cf4a82f847613ca492b
HBO家庭,http://45.11.92.153/lbq/GetPlayUrl2228.php?id=0feec4dcd96d49c48cadb0402083788c
FOX MOVIES,http://45.11.92.153/lbq/GetPlayUrl2228.php?id=c15a3c8bb80a45439b6e7dabee5742da
CINEMAX HD,http://45.11.92.153/lbq/GetPlayUrl2228.php?id=51df2d7cbc364b188589c00ff6f93be5
罪案,http://45.11.92.153/lbq/GetPlayUrl2228.php?id=eb7e7ebbb51148c682bf3a859059e4b9
CatchPlay,http://45.11.92.153/lbq/GetPlayUrl2228.php?id=336f9de72efe4ce492d065ded6cc29c3
Star Movies,http://45.11.92.153/lbq/GetPlayUrl2228.php?id=091f5ac1307b49f0bd6d67390d701669
华纳电影,http://45.11.92.153/lbq/GetPlayUrl2228.php?id=d73a6708c12d4df3b75e4748f34de5be
光影欧洲,http://45.11.92.153/lbq/GetPlayUrl2228.php?id=f65f14ec9f2440528425b8763d123848
Thrill,http://45.11.92.153/lbq/GetPlayUrl2228.php?id=2372131a5cae4b3097c542b3b0be2fe1
Boomerang,http://45.11.92.153/lbq/GetPlayUrl2228.php?id=ad563c05d8954dfabcf0619631aee14e
Outdoor Channel,http://45.11.92.153/lbq/GetPlayUrl2228.php?id=c6d6376d4b4548a9837785769c4e3d87
